JD,Mag,Magerr
2456370.704,13.69,0.05
2455952.924,13.31,0.05
2455952.933,13.29,0.05
2455952.941,13.29,0.05
2455952.95,13.29,0.05
2456386.746,13.63,0.05
2456386.752,13.73,0.05
2456386.757,13.81,0.05
2456386.762,13.87,0.05
2456395.666,13.59,0.05
2456395.672,13.49,0.05
2456395.679,13.4,0.05
2456395.686,13.36,0.05
2456414.729,13.28,0.05
2456414.736,13.25,0.05
2456414.743,13.24,0.05
2456414.75,13.25,0.05
2456443.709,13.76,0.05
2456443.715,13.81,0.05
2456443.721,13.82,0.05
2456443.727,13.72,0.05
2456453.747,13.6,0.05
2456453.752,13.5,0.05
2456453.757,13.43,0.05
2456453.762,13.4,0.05
2456462.664,13.28,0.05
2456462.669,13.26,0.05
2456462.673,13.25,0.05
2456462.678,13.27,0.05
2456463.662,13.28,0.05
2456463.667,13.29,0.05
2456463.672,13.3,0.05
2456463.677,13.29,0.05
